pair,direction,entry_price,exit_price,units,pnl_pips,pnl_usd,spread_cost,swap_cost,bars_held,reason,entry_date,exit_date
GBPUSD,LONG,1.3423318183898927,1.34248,1000,1.5,0.0,0.15,0.0,3,SL,2025-10-16 16:00:00+01:00,2025-10-16 19:00:00+01:00
GBPUSD,SHORT,1.3209888422012328,1.32084,1000,1.5,0.0,0.15,0.0,3,SL,2025-10-30 05:00:00+00:00,2025-10-30 08:00:00+00:00
GBPUSD,LONG,1.36802034740448,1.36817,1000,1.5,0.0,0.15,0.0,4,SL,2026-01-27 05:00:00+00:00,2026-01-27 09:00:00+00:00
GBPUSD,LONG,1.3786758697509767,1.37883,1000,1.5,0.0,0.15,0.0,20,SL,2026-01-28 14:00:00+00:00,2026-01-29 10:00:00+00:00
GBPUSD,LONG,1.3779919660568238,1.3738,1000,-42.0,-4.35,0.15,0.0,2,SL,2026-01-30 11:00:00+00:00,2026-01-30 13:00:00+00:00
GBPUSD,SHORT,1.3563420259475707,1.35134,1000,50.0,4.85,0.15,0.0,20,TP,2026-02-17 22:00:00+00:00,2026-02-18 18:00:00+00:00
GBPUSD,SHORT,1.349077173423767,1.35192,1000,-28.4,-2.99,0.15,0.0,3,SL,2026-02-23 11:00:00+00:00,2026-02-23 14:00:00+00:00
GBPUSD,SHORT,1.3528186761856078,1.35532,1000,-25.0,-2.65,0.15,0.0,4,SL,2026-02-26 09:00:00+00:00,2026-02-26 13:00:00+00:00
GBPUSD,SHORT,1.3490589344024657,1.34891,1000,1.5,0.0,0.15,0.0,1,SL,2026-02-27 05:00:00+00:00,2026-02-27 06:00:00+00:00
GBPUSD,SHORT,1.3397321187973021,1.33958,1000,1.5,0.0,0.15,0.0,5,SL,2026-03-02 12:00:00+00:00,2026-03-02 17:00:00+00:00
GBPUSD,SHORT,1.3325547658920287,1.33704,1000,-44.9,-4.64,0.15,0.0,6,SL,2026-03-04 01:00:00+00:00,2026-03-04 07:00:00+00:00
GBPUSD,SHORT,1.325069376182556,1.32812,1000,-30.6,-3.21,0.15,0.0,7,SL,2026-03-16 04:00:00+00:00,2026-03-16 11:00:00+00:00
GBPUSD,LONG,1.3413703954696656,1.33675,1000,-46.2,-4.77,0.15,0.0,11,SL,2026-03-24 06:00:00+00:00,2026-03-24 17:00:00+00:00
GBPUSD,SHORT,1.3197388135910033,1.32257,1000,-28.3,-2.98,0.15,0.0,7,SL,2026-03-31 05:00:00+01:00,2026-03-31 12:00:00+01:00
GBPUSD,SHORT,1.32345754737854,1.32331,1000,1.5,0.0,0.15,0.0,20,SL,2026-04-02 17:00:00+01:00,2026-04-03 13:00:00+01:00
GBPUSD,LONG,1.3569168365478517,1.35707,1000,1.5,0.0,0.15,0.0,12,SL,2026-04-15 15:00:00+01:00,2026-04-16 03:00:00+01:00
GBPUSD,LONG,1.3593551433563233,1.35683,1000,-25.2,-2.67,0.15,0.0,2,SL,2026-05-04 06:00:00+01:00,2026-05-04 08:00:00+01:00
GBPUSD,SHORT,1.3421959363937377,1.3447,1000,-25.0,-2.65,0.15,0.0,4,SL,2026-06-04 08:00:00+01:00,2026-06-04 12:00:00+01:00
GBPUSD,SHORT,1.3342974864959716,1.33731,1000,-30.1,-3.16,0.15,0.0,16,SL,2026-06-08 15:00:00+01:00,2026-06-09 07:00:00+01:00
GBPUSD,SHORT,1.3320755445480346,1.33193,1000,1.5,0.0,0.15,0.0,4,SL,2026-07-24 09:00:00+01:00,2026-07-24 13:00:00+01:00
GBPUSD,SHORT,1.336169549179077,1.33602,1000,1.5,0.0,0.15,0.0,6,SL,2026-09-18 06:00:00+01:00,2026-09-18 12:00:00+01:00
