Date,equity
2026-08-21 12:15:00-04:00,30.0
2026-08-21 12:30:00-04:00,30.0
2026-08-21 12:45:00-04:00,30.0
2026-08-21 13:00:00-04:00,30.0
2026-08-21 13:15:00-04:00,30.0
2026-08-21 13:30:00-04:00,30.0
2026-08-21 13:45:00-04:00,30.0
2026-08-21 14:00:00-04:00,30.0
2026-08-21 14:15:00-04:00,30.0
2026-08-21 14:30:00-04:00,30.0
2026-08-21 14:45:00-04:00,30.0
2026-08-21 15:00:00-04:00,30.0
2026-08-21 15:15:00-04:00,30.0
2026-08-21 15:30:00-04:00,30.0
2026-08-21 15:45:00-04:00,30.0
2026-08-24 09:30:00-04:00,30.0
2026-08-24 09:45:00-04:00,30.0
2026-08-24 10:00:00-04:00,30.0
2026-08-24 10:15:00-04:00,30.0
2026-08-24 10:30:00-04:00,30.0
2026-08-24 10:45:00-04:00,30.0
2026-08-24 11:00:00-04:00,30.0
2026-08-24 11:15:00-04:00,30.0
2026-08-24 11:30:00-04:00,30.0
2026-08-24 11:45:00-04:00,30.0
2026-08-24 12:00:00-04:00,30.0
2026-08-24 12:15:00-04:00,30.0
2026-08-24 12:30:00-04:00,30.0
2026-08-24 12:45:00-04:00,30.0
2026-08-24 13:00:00-04:00,30.0
2026-08-24 13:15:00-04:00,30.0
2026-08-24 13:30:00-04:00,30.0
2026-08-24 13:45:00-04:00,30.0
2026-08-24 14:00:00-04:00,30.0
2026-08-24 14:15:00-04:00,30.0
2026-08-24 14:30:00-04:00,30.0
2026-08-24 14:45:00-04:00,30.0
2026-08-24 15:00:00-04:00,30.0
2026-08-24 15:15:00-04:00,30.0
2026-08-24 15:30:00-04:00,30.0
2026-08-24 15:45:00-04:00,30.0
2026-08-25 09:30:00-04:00,30.0
2026-08-25 09:45:00-04:00,30.0
2026-08-25 10:00:00-04:00,30.0
2026-08-25 10:15:00-04:00,30.0
2026-08-25 10:30:00-04:00,30.0
2026-08-25 10:45:00-04:00,30.0
2026-08-25 11:00:00-04:00,30.0
2026-08-25 11:15:00-04:00,30.0
2026-08-25 11:30:00-04:00,30.0
2026-08-25 11:45:00-04:00,30.0
2026-08-25 12:00:00-04:00,30.0
2026-08-25 12:15:00-04:00,30.0
2026-08-25 12:30:00-04:00,30.0
2026-08-25 12:45:00-04:00,30.0
2026-08-25 13:00:00-04:00,30.0
2026-08-25 13:15:00-04:00,30.0
2026-08-25 13:30:00-04:00,30.0
2026-08-25 13:45:00-04:00,30.0
2026-08-25 14:00:00-04:00,30.0
2026-08-25 14:15:00-04:00,30.0
2026-08-25 14:30:00-04:00,30.0
2026-08-25 14:45:00-04:00,30.0
2026-08-25 15:00:00-04:00,30.0
2026-08-25 15:15:00-04:00,30.0
2026-08-25 15:30:00-04:00,30.0
2026-08-25 15:45:00-04:00,30.0
2026-08-26 09:30:00-04:00,30.0
2026-08-26 09:45:00-04:00,30.0
2026-08-26 10:00:00-04:00,30.0
2026-08-26 10:15:00-04:00,30.0
2026-08-26 10:30:00-04:00,30.0
2026-08-26 10:45:00-04:00,30.0
2026-08-26 11:00:00-04:00,30.0
2026-08-26 11:15:00-04:00,30.0
2026-08-26 11:30:00-04:00,30.0
2026-08-26 11:45:00-04:00,30.0
2026-08-26 12:00:00-04:00,30.0
2026-08-26 12:15:00-04:00,30.0
2026-08-26 12:30:00-04:00,30.0
2026-08-26 12:45:00-04:00,30.0
2026-08-26 13:00:00-04:00,30.0
2026-08-26 13:15:00-04:00,30.0
2026-08-26 13:30:00-04:00,30.0
2026-08-26 13:45:00-04:00,30.0
2026-08-26 14:00:00-04:00,30.0
2026-08-26 14:15:00-04:00,30.0
2026-08-26 14:30:00-04:00,30.0
2026-08-26 14:45:00-04:00,30.0
2026-08-26 15:00:00-04:00,30.0
2026-08-26 15:15:00-04:00,30.0
2026-08-26 15:30:00-04:00,30.0
2026-08-26 15:45:00-04:00,30.0
2026-08-27 09:30:00-04:00,30.0
2026-08-27 09:45:00-04:00,30.0
2026-08-27 10:00:00-04:00,30.0
2026-08-27 10:15:00-04:00,30.0
2026-08-27 10:30:00-04:00,30.0
2026-08-27 10:45:00-04:00,30.0
2026-08-27 11:00:00-04:00,30.0
2026-08-27 11:15:00-04:00,30.0
2026-08-27 11:30:00-04:00,30.0
2026-08-27 11:45:00-04:00,30.0
2026-08-27 12:00:00-04:00,30.0
2026-08-27 12:15:00-04:00,30.0
2026-08-27 12:30:00-04:00,30.0
2026-08-27 12:45:00-04:00,30.0
2026-08-27 13:00:00-04:00,30.0
2026-08-27 13:15:00-04:00,30.0
2026-08-27 13:30:00-04:00,30.0
2026-08-27 13:45:00-04:00,30.0
2026-08-27 14:00:00-04:00,30.0
2026-08-27 14:15:00-04:00,30.0
2026-08-27 14:30:00-04:00,30.0
2026-08-27 14:45:00-04:00,30.0
2026-08-27 15:00:00-04:00,30.0
2026-08-27 15:15:00-04:00,30.0
2026-08-27 15:30:00-04:00,30.0
2026-08-27 15:45:00-04:00,30.0
2026-08-28 09:30:00-04:00,30.0
2026-08-28 09:45:00-04:00,30.0
2026-08-28 10:00:00-04:00,30.0
2026-08-28 10:15:00-04:00,30.0
2026-08-28 10:30:00-04:00,30.0
2026-08-28 10:45:00-04:00,30.0
2026-08-28 11:00:00-04:00,30.0
2026-08-28 11:15:00-04:00,30.0
2026-08-28 11:30:00-04:00,30.0
2026-08-28 11:45:00-04:00,30.0
2026-08-28 12:00:00-04:00,30.0
2026-08-28 12:15:00-04:00,30.0
